"reviewPriority","reviewBatch","playerKey","playerName","classicRole","mantraRoles","realTeam","realTeamOriginal","fantacalcioId","quotationCurrent","fvm","fantasyRoster","fbrefSearchQuery","fbrefSearchUrl","fbrefId","fbrefName","fbrefUrl","matchStatus","confidence","source","sourceVerifiedAt","mappedInRelease","notes"
"311","batch-07","fc-7347","Bowie","A","A","VER","Verona","7347","10","33","","Bowie Verona fbref","https://fbref.com/en/search/search.fcgi?search=Bowie%20Verona%20fbref","6dd87204","Kieron Bowie","https://fbref.com/en/players/6dd87204/Kieron-Bowie","confirmed","0.98","FBref","2026-06-05","V379","Nome listone Bowie: associato a Kieron Bowie, Verona. Batch-07 verificato manualmente su FBref/search result."
"325","batch-07","fc-7329","Obrador","D","Ds/E","TOR","Torino","7329","10","16","","Obrador Torino fbref","https://fbref.com/en/search/search.fcgi?search=Obrador%20Torino%20fbref","949c3655","Rafel Obrador","https://fbref.com/en/players/949c3655/Rafel-Obrador","confirmed","0.98","FBref","2026-06-05","V379","Nome listone Obrador: associato a Rafel/Rafa Obrador, Torino. Batch-07 verificato manualmente su FBref/search result."
"322","batch-07","fc-5010","Ismajli","D","Dc","TOR","Torino","5010","6","14","","Ismajli Torino fbref","https://fbref.com/en/search/search.fcgi?search=Ismajli%20Torino%20fbref","8fa5ec22","Ardian Ismajli","https://fbref.com/en/players/8fa5ec22/Ardian-Ismajli","confirmed","0.98","FBref","2026-06-05","V379","Nome listone Ismajli: associato ad Ardian Ismajli; Torino/listone e profilo Serie A. Batch-07 verificato manualmente su FBref/search result."
"306","batch-07","fc-5298","Pobega","C","M/C","BOL","Bologna","5298","8","13","","Pobega Bologna fbref","https://fbref.com/en/search/search.fcgi?search=Pobega%20Bologna%20fbref","55a1cac2","Tommaso Pobega","https://fbref.com/en/players/55a1cac2/Tommaso-Pobega","confirmed","0.98","FBref","2026-06-05","V379","Nome listone Pobega: associato a Tommaso Pobega, Bologna. Batch-07 verificato manualmente su FBref/search result."
"341","batch-07","fc-7138","Ordonez C.","C","M/C","PAR","Parma","7138","6","12","","Ordonez C Parma fbref","https://fbref.com/en/search/search.fcgi?search=Ordonez%20C%20Parma%20fbref","0d94b6d9","Christian Ordoñez","https://fbref.com/en/players/0d94b6d9/Christian-Ordonez","confirmed","0.98","FBref","2026-06-05","V379","Nome listone Ordonez C.: associato a Christian Ordoñez, Parma; accento normalizzato nello slug. Batch-07 verificato manualmente su FBref/search result."
"310","batch-07","fc-5992","Bondo","C","M/C","CRE","Cremonese","5992","5","12","","Bondo Cremonese fbref","https://fbref.com/en/search/search.fcgi?search=Bondo%20Cremonese%20fbref","0def2376","Warren Bondo","https://fbref.com/en/players/0def2376/Warren-Bondo","confirmed","0.98","FBref","2026-06-05","V379","Nome listone Bondo: associato a Warren Bondo, Cremonese/Milan/Monza su FBref. Batch-07 verificato manualmente su FBref/search result."
"335","batch-07","fc-5858","Ferguson","C","C/T","BOL","Bologna","5858","5","12","","Ferguson Bologna fbref","https://fbref.com/en/search/search.fcgi?search=Ferguson%20Bologna%20fbref","ee64a822","Lewis Ferguson","https://fbref.com/en/players/ee64a822/Lewis-Ferguson","confirmed","0.98","FBref","2026-06-05","V379","Nome listone Ferguson: associato a Lewis Ferguson, Bologna. Batch-07 verificato manualmente su FBref/search result."
"339","batch-07","fc-1976","Mazzitelli","C","M/C","CAG","Cagliari","1976","10","12","","Mazzitelli Cagliari fbref","https://fbref.com/en/search/search.fcgi?search=Mazzitelli%20Cagliari%20fbref","dc61b402","Luca Mazzitelli","https://fbref.com/en/players/dc61b402/Luca-Mazzitelli","confirmed","0.98","FBref","2026-06-05","V379","Nome listone Mazzitelli: associato a Luca Mazzitelli, Cagliari. Batch-07 verificato manualmente su FBref/search result."
"316","batch-07","fc-7014","Smolcic I.","D","Dd/Dc","COM","Como","7014","6","12","","Smolcic I Como fbref","https://fbref.com/en/search/search.fcgi?search=Smolcic%20I%20Como%20fbref","08e57960","Ivan Smolčić","https://fbref.com/en/players/08e57960/Ivan-Smolcic","confirmed","0.98","FBref","2026-06-05","V379","Nome listone Smolcic I.: associato a Ivan Smolčić, Como; accento normalizzato nello slug. Batch-07 verificato manualmente su FBref/search result."
"315","batch-07","fc-7012","Provstgaard","D","Dc","LAZ","Lazio","7012","7","12","","Provstgaard Lazio fbref","https://fbref.com/en/search/search.fcgi?search=Provstgaard%20Lazio%20fbref","e97adead","Oliver Nielsen","https://fbref.com/en/players/e97adead/Oliver-Nielsen","confirmed","0.98","FBref","2026-06-05","V379","Nome listone Provstgaard: profilo FBref indicizzato come Oliver Nielsen, nome completo Oliver Provstgaard Nielsen; Lazio. Batch-07 verificato manualmente su FBref/search result."
"326","batch-07","fc-5449","Parisi","D","E","FIO","Fiorentina","5449","6","12","","Parisi Fiorentina fbref","https://fbref.com/en/search/search.fcgi?search=Parisi%20Fiorentina%20fbref","0967845b","Fabiano Parisi","https://fbref.com/en/players/0967845b/Fabiano-Parisi","confirmed","0.98","FBref","2026-06-05","V379","Nome listone Parisi: associato a Fabiano Parisi, Fiorentina. Batch-07 verificato manualmente su FBref/search result."
"347","batch-07","fc-2640","Kolasinac","D","B/Ds/E","ATA","Atalanta","2640","7","12","","Kolasinac Atalanta fbref","https://fbref.com/en/search/search.fcgi?search=Kolasinac%20Atalanta%20fbref","3935e52e","Sead Kolašinac","https://fbref.com/en/players/3935e52e/Sead-Kolasinac","confirmed","0.98","FBref","2026-06-05","V379","Nome listone Kolasinac: associato a Sead Kolašinac, Atalanta; accento normalizzato nello slug. Batch-07 verificato manualmente su FBref/search result."
