"reviewPriority","reviewBatch","playerKey","playerName","classicRole","mantraRoles","realTeam","realTeamOriginal","fantacalcioId","quotationCurrent","fvm","fantasyRoster","fbrefSearchQuery","fbrefSearchUrl","fbrefId","fbrefName","fbrefUrl","matchStatus","confidence","source","sourceVerifiedAt","mappedInRelease","notes"
"520","batch-11","fc-7156","Pieragnolo","D","Ds/E","SAS","Sassuolo","7156","1","3","","Pieragnolo Sassuolo fbref","https://fbref.com/en/search/search.fcgi?search=Pieragnolo%20Sassuolo%20fbref","ae67e0c4","Edoardo Pieragnolo","https://fbref.com/en/players/ae67e0c4/Edoardo-Pieragnolo","confirmed","0.98","FBref","2026-06-06","V383","Nome listone Pieragnolo: associato a Edoardo Pieragnolo, profilo FBref con Sassuolo/Reggiana e Serie A/Serie B. Batch-11 verificato manualmente su FBref/search result."
"513","batch-11","fc-5899","Gigot","D","Dc","LAZ","Lazio","5899","1","3","","Gigot Lazio fbref","https://fbref.com/en/search/search.fcgi?search=Gigot%20Lazio%20fbref","41eebdf5","Samuel Gigot","https://fbref.com/en/players/41eebdf5/Samuel-Gigot","confirmed","0.98","FBref","2026-06-06","V383","Nome listone Gigot: associato a Samuel Gigot, profilo FBref con Lazio/Serie A. Batch-11 verificato manualmente su FBref/search result."
"515","batch-11","fc-6645","Marchwinski","C","T","LEC","Lecce","6645","1","2","","Marchwinski Lecce fbref","https://fbref.com/en/search/search.fcgi?search=Marchwinski%20Lecce%20fbref","55a88fd9","Filip Marchwiński","https://fbref.com/en/players/55a88fd9/Filip-Marchwinski","confirmed","0.98","FBref","2026-06-06","V383","Nome listone Marchwinski: associato a Filip Marchwiński, Lecce; accento normalizzato nello slug FBref. Batch-11 verificato manualmente su FBref/search result."
"516","batch-11","fc-7388","Mosconi","A","A","INT","Inter","7388","1","1","","Mosconi Inter fbref","https://fbref.com/en/search/search.fcgi?search=Mosconi%20Inter%20fbref","509f2e6f","Mattia Mosconi","https://fbref.com/en/players/509f2e6f/Mattia-Mosconi","confirmed","0.98","FBref","2026-06-06","V383","Nome listone Mosconi: associato a Mattia Mosconi, Inter; escluso omonimo Dudu Mosconi non coerente. Batch-11 verificato manualmente su FBref/search result."
"504","batch-11","fc-7368","Vermesan","A","Pc","VER","Verona","7368","1","1","","Vermesan Verona fbref","https://fbref.com/en/search/search.fcgi?search=Vermesan%20Verona%20fbref","29757eac","Ioan Vermeșan","https://fbref.com/en/players/29757eac/Ioan-Vermesan","confirmed","0.98","FBref","2026-06-06","V383","Nome listone Vermesan: associato a Ioan Vermeșan, Hellas Verona; diacritico normalizzato nello slug. Batch-11 verificato manualmente su FBref/search result."
"505","batch-11","fc-7262","Balentien","A","A","MIL","Milan","7262","1","1","","Balentien Milan fbref","https://fbref.com/en/search/search.fcgi?search=Balentien%20Milan%20fbref","","","","needs-review","","","","","Nessun profilo FBref verificabile con ricerca mirata per Balentien/Milan. Mantenuto needs-review per evitare falso positivo; le fonti non-FBref indicano Cheveyo Balentien, ma manca una scheda FBref stabile da associare."
"522","batch-11","fc-7346","Raterink","D","Dd/E","CAG","Cagliari","7346","1","1","","Raterink Cagliari fbref","https://fbref.com/en/search/search.fcgi?search=Raterink%20Cagliari%20fbref","f3eb2f17","Othniel Raterink","https://fbref.com/en/players/f3eb2f17/Othniel-Raterink","confirmed","0.98","FBref","2026-06-06","V383","Nome listone Raterink: associato a Othniel Raterink, Cagliari. Batch-11 verificato manualmente su FBref/search result."
"512","batch-11","fc-7383","Giacomone","P","Por","LAZ","Lazio","7383","1","1","","Giacomone Lazio fbref","https://fbref.com/en/search/search.fcgi?search=Giacomone%20Lazio%20fbref","d489fb0a","Giacomo Giacomone","https://fbref.com/en/players/d489fb0a/Giacomo-Giacomone","confirmed","0.98","FBref","2026-06-06","V383","Nome listone Giacomone: associato a Giacomo Giacomone, Lazio. Batch-11 verificato manualmente su FBref/search result."
"519","batch-11","fc-7382","Pannozzo","P","Por","LAZ","Lazio","7382","1","1","","Pannozzo Lazio fbref","https://fbref.com/en/search/search.fcgi?search=Pannozzo%20Lazio%20fbref","72a467c3","Nicolò Pannozzo","https://fbref.com/en/players/72a467c3/Nicolo-Pannozzo","confirmed","0.98","FBref","2026-06-06","V383","Nome listone Pannozzo: associato a Nicolò Pannozzo, Lazio; accento normalizzato nello slug. Batch-11 verificato manualmente su FBref/search result."
"528","batch-11","fc-7363","Siviero","P","Por","TOR","Torino","7363","1","1","","Siviero Torino fbref","https://fbref.com/en/search/search.fcgi?search=Siviero%20Torino%20fbref","5801df6a","Lapo Siviero","https://fbref.com/en/players/5801df6a/Lapo-Siviero","confirmed","0.98","FBref","2026-06-06","V383","Nome listone Siviero: associato a Lapo Siviero, Torino. Batch-11 verificato manualmente su FBref/search result."
