"reviewPriority","reviewBatch","playerKey","playerName","classicRole","mantraRoles","realTeam","realTeamOriginal","fantacalcioId","quotationCurrent","fvm","fantasyRoster","fbrefSearchQuery","fbrefSearchUrl","fbrefId","fbrefName","fbrefUrl","matchStatus","confidence","source","sourceVerifiedAt","mappedInRelease","notes"
"204","batch-05","fc-5651","Harrison","C","W","FIO","Fiorentina","5651","11","23","Ac Milan","Harrison Fiorentina fbref","https://fbref.com/en/search/search.fcgi?search=Harrison%20Fiorentina%20fbref","aa849a12","Jack Harrison","https://fbref.com/en/players/aa849a12/Jack-Harrison","confirmed","0.98","FBref","2026-06-05","V377","Nome listone Harrison: associato a Jack Harrison, Fiorentina. Batch-05 verificato manualmente su FBref."
"206","batch-05","fc-4896","Maldini","C","T/A","LAZ","Lazio","4896","10","20","As Paperopoli","Maldini Lazio fbref","https://fbref.com/en/search/search.fcgi?search=Maldini%20Lazio%20fbref","801831fe","Daniel Maldini","https://fbref.com/en/players/801831fe/Daniel-Maldini","confirmed","0.98","FBref","2026-06-05","V377","Nome listone Maldini: associato a Daniel Maldini, Lazio; omonimi esclusi. Batch-05 verificato manualmente su FBref."
"242","batch-05","fc-5620","Tavares N.","D","Ds/E","LAZ","Lazio","5620","6","18","Ac Milan","Tavares N Lazio fbref","https://fbref.com/en/search/search.fcgi?search=Tavares%20N%20Lazio%20fbref","a65c844b","Nuno Tavares","https://fbref.com/en/players/a65c844b/Nuno-Tavares","confirmed","0.98","FBref","2026-06-05","V377","Nome listone Tavares N.: associato a Nuno Tavares, Lazio; omonimi esclusi. Batch-05 verificato manualmente su FBref."
"211","batch-05","fc-608","Zapata D.","A","Pc","TOR","Torino","608","8","15","River Plaid","Zapata D Torino fbref","https://fbref.com/en/search/search.fcgi?search=Zapata%20D%20Torino%20fbref","d3de9af0","Duván Zapata","https://fbref.com/en/players/d3de9af0/Duvan-Zapata","confirmed","0.98","FBref","2026-06-05","V377","Nome listone Zapata D.: associato a Duván Zapata, Torino; omonimi esclusi. Batch-05 verificato manualmente su FBref."
"225","batch-05","fc-6831","Neres","C","W/A","NAP","Napoli","6831","10","15","Beetlejuice","Neres Napoli fbref","https://fbref.com/en/search/search.fcgi?search=Neres%20Napoli%20fbref","4f1e6a0b","David Neres","https://fbref.com/en/players/4f1e6a0b/David-Neres","confirmed","0.98","FBref","2026-06-05","V377","Nome listone Neres: associato a David Neres, Napoli. Batch-05 verificato manualmente su FBref."
"240","batch-05","fc-6680","Karlstrom","C","M/C","UDI","Udinese","6680","9","15","","Karlstrom Udinese fbref","https://fbref.com/en/search/search.fcgi?search=Karlstrom%20Udinese%20fbref","e0a1f4eb","Jesper Karlström","https://fbref.com/en/players/e0a1f4eb/Jesper-Karlstrom","confirmed","0.98","FBref","2026-06-05","V377","Nome listone Karlstrom: associato a Jesper Karlström, Udinese; accento normalizzato nello slug. Batch-05 verificato manualmente su FBref."
"220","batch-05","fc-5823","Baldanzi","C","T/A","GEN","Genoa","5823","9","15","Ac Milan","Baldanzi Genoa fbref","https://fbref.com/en/search/search.fcgi?search=Baldanzi%20Genoa%20fbref","102e2599","Tommaso Baldanzi","https://fbref.com/en/players/102e2599/Tommaso-Baldanzi","confirmed","0.98","FBref","2026-06-05","V377","Nome listone Baldanzi: associato a Tommaso Baldanzi, Genoa. Batch-05 verificato manualmente su FBref."
"213","batch-05","fc-4947","Brescianini","C","C/T","FIO","Fiorentina","4947","10","15","real mappine","Brescianini Fiorentina fbref","https://fbref.com/en/search/search.fcgi?search=Brescianini%20Fiorentina%20fbref","dfd56738","Marco Brescianini","https://fbref.com/en/players/dfd56738/Marco-Brescianini","confirmed","0.98","FBref","2026-06-05","V377","Nome listone Brescianini: associato a Marco Brescianini, Fiorentina. Batch-05 verificato manualmente su FBref."
"208","batch-05","fc-4349","Nicolussi Caviglia","C","M/C","PAR","Parma","4349","8","15","River Plaid","Nicolussi Caviglia Parma fbref","https://fbref.com/en/search/search.fcgi?search=Nicolussi%20Caviglia%20Parma%20fbref","b136c945","Hans Nicolussi Caviglia","https://fbref.com/en/players/b136c945/Hans-Nicolussi-Caviglia","confirmed","0.98","FBref","2026-06-05","V377","Nome listone Nicolussi Caviglia: associato a Hans Nicolussi Caviglia, Parma. Batch-05 verificato manualmente su FBref."
"217","batch-05","fc-5555","Kamara H.","D","Ds/E","UDI","Udinese","5555","6","15","Real Pisistrius","Kamara H Udinese fbref","https://fbref.com/en/search/search.fcgi?search=Kamara%20H%20Udinese%20fbref","19a12bed","Hassane Kamara","https://fbref.com/en/players/19a12bed/Hassane-Kamara","confirmed","0.98","FBref","2026-06-05","V377","Nome listone Kamara H.: associato a Hassane Kamara, Udinese; omonimi esclusi. Batch-05 verificato manualmente su FBref."
"215","batch-05","fc-4502","Gallo","D","Ds/E","LEC","Lecce","4502","10","15","","Gallo Lecce fbref","https://fbref.com/en/search/search.fcgi?search=Gallo%20Lecce%20fbref","c74d63ac","Antonino Gallo","https://fbref.com/en/players/c74d63ac/Antonino-Gallo","confirmed","0.98","FBref","2026-06-05","V377","Nome listone Gallo: associato a Antonino Gallo, Lecce. Batch-05 verificato manualmente su FBref."
"233","batch-05","fc-6629","Dele-Bashiru","C","C/T","LAZ","Lazio","6629","6","14","River Plaid","Dele-Bashiru Lazio fbref","https://fbref.com/en/search/search.fcgi?search=Dele-Bashiru%20Lazio%20fbref","121a4fb8","Fisayo Dele-Bashiru","https://fbref.com/en/players/121a4fb8/Fisayo-Dele-Bashiru","confirmed","0.98","FBref","2026-06-05","V377","Nome listone Dele-Bashiru: associato a Fisayo Dele-Bashiru, Lazio. Batch-05 verificato manualmente su FBref."
"249","batch-05","fc-5840","Olivera","D","Ds/E","NAP","Napoli","5840","5","14","Prestige Worldwide","Olivera Napoli fbref","https://fbref.com/en/search/search.fcgi?search=Olivera%20Napoli%20fbref","41c12f75","Mathías Olivera","https://fbref.com/en/players/41c12f75/Mathias-Olivera","confirmed","0.98","FBref","2026-06-05","V377","Nome listone Olivera: associato a Mathías Olivera, Napoli; accento normalizzato nello slug. Batch-05 verificato manualmente su FBref."
"202","batch-05","fc-4401","Gabbia","D","Dc","MIL","Milan","4401","5","14","Olympic Salerno  FC","Gabbia Milan fbref","https://fbref.com/en/search/search.fcgi?search=Gabbia%20Milan%20fbref","c235e803","Matteo Gabbia","https://fbref.com/en/players/c235e803/Matteo-Gabbia","confirmed","0.98","FBref","2026-06-05","V377","Nome listone cognome: associato a Matteo Gabbia, Milan. Batch-05 verificato manualmente su FBref."
"209","batch-05","fc-133","Skorupski","P","Por","BOL","Bologna","133","11","14","Prestige Worldwide","Skorupski Bologna fbref","https://fbref.com/en/search/search.fcgi?search=Skorupski%20Bologna%20fbref","ab4449d6","Łukasz Skorupski","https://fbref.com/en/players/ab4449d6/Lukasz-Skorupski","confirmed","0.98","FBref","2026-06-05","V377","Nome listone Skorupski: associato a Łukasz Skorupski, Bologna; accento normalizzato nello slug. Batch-05 verificato manualmente su FBref."
"237","batch-05","fc-7318","Gandelman","C","C/T","LEC","Lecce","7318","9","13","Afc Severgas Baronissi","Gandelman Lecce fbref","https://fbref.com/en/search/search.fcgi?search=Gandelman%20Lecce%20fbref","e4b121b3","Omri Gandelman","https://fbref.com/en/players/e4b121b3/Omri-Gandelman","confirmed","0.98","FBref","2026-06-05","V377","Nome listone Gandelman: associato a Omri Gandelman, Lecce. Batch-05 verificato manualmente su FBref."
"250","batch-05","fc-6549","Pierotti","C","W/A","LEC","Lecce","6549","7","13","","Pierotti Lecce fbref","https://fbref.com/en/search/search.fcgi?search=Pierotti%20Lecce%20fbref","ec315772","Santiago Pierotti","https://fbref.com/en/players/ec315772/Santiago-Pierotti","confirmed","0.98","FBref","2026-06-05","V377","Nome listone Pierotti: associato a Santiago Pierotti, Lecce. Batch-05 verificato manualmente su FBref."
"241","batch-05","fc-6394","Ramadani","C","M/C","LEC","Lecce","6394","8","13","","Ramadani Lecce fbref","https://fbref.com/en/search/search.fcgi?search=Ramadani%20Lecce%20fbref","ef3c876b","Ylber Ramadani","https://fbref.com/en/players/ef3c876b/Ylber-Ramadani","confirmed","0.98","FBref","2026-06-05","V377","Nome listone Ramadani: associato a Ylber Ramadani, Lecce. Batch-05 verificato manualmente su FBref."
"228","batch-05","fc-7143","Angori","D","Ds/E","PIS","Pisa","7143","9","13","","Angori Pisa fbref","https://fbref.com/en/search/search.fcgi?search=Angori%20Pisa%20fbref","9ee1d39e","Samuele Angori","https://fbref.com/en/players/9ee1d39e/Samuele-Angori","confirmed","0.98","FBref","2026-06-05","V377","Nome listone Angori: associato a Samuele Angori, Pisa. Batch-05 verificato manualmente su FBref."
